Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
  Journal Article;653; A. Y. Tugarinov;1929; Priroda (Nature); The origin of the Arctic fauna. (in Russian);;;7-8;653-678;1929; The origin of the Arctic fauna. (in Russian);890; Barents Sea, White Sea, Many orders, Distribution, Habitat, Climate;;;
  Book;657; P. V. Ushakov;1929;; Novaya Zemlya. (in Russian);; Leningrad;;109;1929; Novaya Zemlya. (in Russian);2050; Barents Sea, Novaya Zemlya, Many orders, Distribution;;;
  Journal Article;1;;1930; Sovietski Sever (Soviet North); Works on the protection, counts and exploitation of Eider (chronicle). (in Russian);;;5;133-135;1930; Works on the protection, counts and exploitation of Eider (chronicle). (in Russian);3170; Barents Sea, Common Eider, Population trends, Management, Harvesting;;;
  Journal Article;28; L. O. Belopolski;1930; Sovetski Sever. (The Soviet North); The wintering of Common Eider of the Kola Bay. (in Russian);;;4;30-32;1930; The wintering of Common Eider of the Kola Bay. (in Russian);160; Barents Sea, Common Eider, Murman, Wintering;;;
  Journal Article;217; A. N. Formosov;1930; Sovietski sever (Soviet North); The Eider. (in Russian);;;1;100-105;1930; The Eider. (in Russian);70; Barents Sea, Murman, Common Eider, Harvesting, Management;;;
  Book;218; A. N. Formosov;1930;; Gaga i promysel gagach'ego pukha. (Eider and eider-down harvesting). (in Russian);; Moscow;;60;1930; Gaga i promysel gagach'ego pukha. (Eider and eider-down harvesting). (in Russian);80; Barents Sea, Murman, Common Eider, Behavior, Breeding, Distribution, Population size, Harvesting, Management, Diet, Movement, Predators, Habitats;;;
  Journal Article;219; A. N. Formozov;1930; Karelo-Murmanski Kray. (Karelia-Murmansk district); The Eider and Eider-down harvesting in the North. (in Russian);;;1;27-28;1930; The Eider and Eider-down harvesting in the North. (in Russian);6160; Barents Sea, White Sea, Common Eider, Harvesting, Management, Popularized paper;;;
  Book;521; G. I. Polyakov;1930;; Bird ringing on the Solovetskie islands. (in Russian); Solovetskie ostrova. (Solovetskie islands);;3;65-70;1930; Bird ringing on the Solovetskie islands. (in Russian);5090; White Sea, Many orders, Movements, Banding;;;
  Conference Proceedings;83; V. V. Biancki;;; The autumn migration of waterfowl across the White Sea. (in Russian);; Petrozavodsk;;42-44;30 March - 3 April 1964; The autumn migration of waterfowl across the White Sea. (in Russian);1600; White Sea, Geese, Ducks, Movements, Harvesting, Management;;;
  Book;21; G. I. Belenki;1931;; The biology of the Eider. (in Russian); Trudy  zootechniki i fiziologii (Transactions of zootechniks and physiology);;1;;1931; The biology of the Eider. (in Russian);170; White Sea, Common Eider, Breeding, Distribution;;;
  Book;523; L. A. Portenko;1931;; Productive resources of Novaya Zemlya. (in Russian); Trudy biogeokhimicheskoy laboratorii (Transactions of the Biogeochemical  laboratory); Leningrad;Prilozhenie (Supplement)  2;52;1931; Productive resources of Novaya Zemlya. (in Russian);780; Barents Sea, Novaya Zemlya, Alcids, Gulls, Eiders, Population size, Distribution;;;
  Book;273; G. P. Gorbunov;1932;; The birds of Frans Josef Land. (in Russian); Trudy Arctich. Instituta (Transactions of the Arctic Institute);;4;244;1932; The birds of Frans Josef Land. (in Russian);540; Barents Sea, Frans Josef Land, Alcids, Gulls, Distribution, Population size;;;
  Book;29; L. O. Belopolski;1933;;The quantative distribution of Rissa tridactyla and Fulmarus glacialis along the Kola and the 38 degree meridian in the Barents Sea. (in Russian); Trudy Arkticheskogo Instituta (Proceedings of Arctic Institute);;8;101-105;1933;The quantative distribution of Rissa tridactyla and Fulmarus glacialis along the Kola and the 38 degree meridian in the Barents Sea. (in Russian);180; Barents Sea, Murman, Kittiwake, Nothern Fulmar, Distribution;;;
  Book;193; V. K. Esipov;1933;; Biological and scientific-economical works of the Arctic Institute on Novaya Zemlya. (in Russian); Trudy Arkticheskogo Instituta. (Transactions of the Arctic Institute); Leningrad;7;;1933; Biological and scientific-economical works of the Arctic Institute on Novaya Zemlya. (in Russian);6610; Barents Sea, Novaya Zemlya, Alcids, Gulls, Distribution;;;
  Journal Article;414; S. K. Krasovski;1933; Byulleten Arkticheskogo Instituta. (Bulletin of the Arctic Institute);The work of the ornithological group in the Novaya Zemlya Scientific-economical expedition, 1933. (in Russian);;;11;;1933;The work of the ornithological group in the Novaya Zemlya Scientific-economical expedition, 1933. (in Russian);6680; Barents Sea, Novaya Zemlya, Alcida, Population size, Distribution, Breeding;;;
  Book;655; N. N. Urvantzev;1933;; Severnaya zemlya.  (the essay of a research). (in Russian);; Leningrad;;53;1933; Severnaya zemlya.  (the essay of a research). (in Russian);10; Many orders, Distribution;;;
  Book;714; A. V. Zalevski, A. A. Uspenski and T. D. Elagin;1933;; Murman coast birds, their storage and processing. (in Russian); Trudy nauchno-issledovatelskogo instituta ptitsepromyshlennosti Narkomsnaba SSSR. (Proceedings of the Research institute of bird economy, Narkomsnab of the USSR); Moscow;;109;1933; Murman coast birds, their storage and processing. (in Russian);3280; Barents Sea, Murman, Common Eider, King Eider, Harvesting, Management;;;
  Journal Article;19; A. G. Bannikov;1934; Trudy Arcticheskogo Instituta. (Proceedings of the Arctic Institute); Notes on avifauna of the Kanin Peninsula.  (in Russian);;;11;23-44;1934; Notes on avifauna of the Kanin Peninsula.  (in Russian);200; Barents Sea, Nenets district, Geese, Distribution, Movements;;;
  Book;173; G. P. Dementjev;1934;; Occassional visits of Kittiwakes in the Asiatic mainland in USSR. (in Russian); Trudy Zoologicheskogo muzeya MGU (Transactions of Zoological museum of the Moscow State University); Moscow;1;161-162;1934; Occassional visits of Kittiwakes in the Asiatic mainland in USSR. (in Russian);2620; Kittiwake, Movements;;;
  Book;181; N. P. Demme;1934;; Seabird colonies at the Rubini Rock (Hucker Island, Frans Josef Land). (in Russian); Trudy Arcticheskogo institita. (Transactions of the Arctic Institute);;11;55-86;1934; Seabird colonies at the Rubini Rock (Hucker Island, Frans Josef Land). (in Russian);610; Barents Sea, Frans Josef Land, Alcids, Gulls, Breeding, Population size;;;
  Journal Article;194; V. K. Esipov;1934; Byulleten Arkticheskogo Instituta. (Bulletin of the Arctic Institute); Bird ringing by the Arctic Institute. (in Russian);;;2;;1934; Bird ringing by the Arctic Institute. (in Russian);6620; Brents sea, Novaya Zemlya, Alcids, Banding;;;
  Journal Article;274; G. P. Gorbunov;1934; Arktika. (Arctic); Biological indicators and their significance in the investigations of the Arctic. (in Russian);;;2;113-125;1934; Biological indicators and their significance in the investigations of the Arctic. (in Russian);550; Barents Sea, Alcids, Larids, Distribution, Population size, Breeding, Climate, Harvesting;;;
  Book;481; A. A. Nasimovich;1934;; The stock of wild animals in the Far North. (in Russian);; Moscow-Leningrad;;100;1934; The stock of wild animals in the Far North. (in Russian);4910; Barents Sea, White Sea, Eiders, Harvesting;;;
  Book;162; S. A. Buturlin;1935;; Ptitsy SSSR. (Birds of the USSR). (in Russian).;; Moscow-Leningrad;2;280;1935; Ptitsy SSSR. (Birds of the USSR). (in Russian).;3510; Barents Sea, White Sea, Distribution, Breeding, Divers, Pelecaniformes, Anseriformes;;;
  Book;174; G. P. Dementjev;1935;; Birds of the Kanin Peninsula. (in Russian); Sb. trudov Zoolog. muzeya Moscowsk. gos. univ. (Collection of transactions of the Moscow State University Museum);;2;23-55;1935; Birds of the Kanin Peninsula. (in Russian);580; Barents Sea, Nenets district, Many Orders, Distribution;;;
  Journal Article;352; S. K. Klumov;1935; Sovetskaya Arctica. (Soviet Arctic); The fauna and trade resources of the Vaygach island. (in Russian);;;;53-58;1935; The fauna and trade resources of the Vaygach island. (in Russian);3740; Barents Sea, Nenets district, Common Eider, Harvesting;;;
  Journal Article;415; S. K. Krasovski;1935; Byulleten Arkticheskogo Instituta. (Bulletin of Arctic Institute);Bird ringing at Novaya Zemlya, summer 1934. (in Russian);;;8;;1935;Bird ringing at Novaya Zemlya, summer 1934. (in Russian);6690; Barents sea, Novaya Zemlya, Alcids, Gulls, Banding;;;
  Journal Article;441; A. T. Lepin;1935; Byulleten Arkticheskogo Instituta. (Bulletin of the Arctic Institute); Ringing of guillemots in the Bezymyannaya Bay of Novaya Zemlya. (in Russian);;;10;;1935; Ringing of guillemots in the Bezymyannaya Bay of Novaya Zemlya. (in Russian);6710; Barents Sea, Novaya Zemlya, Murres, Banding;;;
  Book;593; E. P. Spangenberg;1935;; Mekhovaya ptitsa. (Fur bird);; Moscow-Leningrad;;68;1935; Mekhovaya ptitsa. (Fur bird);5400; Barents Sea, Common eider, Harvesting, Local traditions, Breeding, Distribution;;;
  Book;188; A. N. Dubrovski;1936;; Eider and eider trade in the Kandalaksha bay. (in Russian); Izvestiya russkogo geographicheskogo obshchestva (News of Russian  Geographical Society);;68;899-915;1936; Eider and eider trade in the Kandalaksha bay. (in Russian);200; White sea, Common Eider, Harvesting, Distribution, Management, Behavior, Breeding, Population size, Diet, Movements, Predators;;;ProCite field[24]: 6
  Book;416; S. K. Krasovski;1936;; Cranial peculiarities of European species of the genus Uria. (in Russian); Izvestiya nauchnogo instituta imeni P. F. Lesgafta. (Proceedings of the research institute named P. F. Lesgaft); Leningrad;19;;1936; Cranial peculiarities of European species of the genus Uria. (in Russian);6700; Barents sea, Murres, Biometry, Physiology;;;
  Book;517; A. G. Poekrat;1936;; Trades of the Kolguev island. (in Russian); Ocherki po promyslovomu khozyaystvu i olenevodctvu Kraynego Severa. (Notes on the trade economy and reindeer farming of the Far North); Leningrad;;71-115;1936; Trades of the Kolguev island. (in Russian);5130; Barents Sea, Nenets District, King Eider, Harvesting, Distribution, Management;;;
  Journal Article;730; A. Zubkov;1936; Byulleten Arkticheskogo Instituta. (Bulletin of Arctic Institute);Results of harvesting at the islands of the Arctic Ocean in 1934-1935. (in Russian);;;2;;1936;Results of harvesting at the islands of the Arctic Ocean in 1934-1935. (in Russian);6640; Barents Sea, Novaya Zemlya, Alcids, Eider, Harvesting;;;
  Book;417; S. K. Krasovski;1937;; An essay of the biology of the Brünnich's Guillemot. The biological background of the economic exploitation of birds colonies. (in Russian); Trudy Arkticheskogo Instituta, Biologiya (Transactions of Arctic Institute, Biology);;77;32-92;1937; An essay of the biology of the Brünnich's Guillemot. The biological background of the economic exploitation of birds colonies. (in Russian);680; Barents sea, Novaya Zemlya, Murre, Breeding, Population size, Harvesting, Management;;;
  Book;446; G. S. Markov;1937;; Age-related changes of the parasitic fauna of Brunnich's Guillemot (Uria lomvia lomvia) on Novaya Zemlya. (in Russian); Trudy Leningradskogo obshchestva estestvoispytateley. (Transactions of the Leningrad Society of Nature explorers).; Leningrad;3;;1937; Age-related changes of the parasitic fauna of Brunnich's Guillemot (Uria lomvia lomvia) on Novaya Zemlya. (in Russian);6720; Barents Sea, Novaya Zemlya, Thick-billed Murre, Breeding, Parasites;;;
  Journal Article;535; G. S. Roginski;1937; Vestnik znaniya (Bulletin of knowledge); The behaviour and instincts of guillemots in seabird colonies. (in Russian);;;9;37-40;1937; The behaviour and instincts of guillemots in seabird colonies. (in Russian);790; Barents Sea, Murman, Murre, Behavior, Breeding;;;
  Book;10; V. M. Antipin;1938;; Vertebrate fauna at the north-eastern part of Novaya Zemlya. (in Russian); Problemy Arktiki. (Problems of Arctic);;2;153-171;1938; Vertebrate fauna at the north-eastern part of Novaya Zemlya. (in Russian);100; Barents Sea, Novaya Zemlya, Alcids, Gulls, Eider, Distribution, Population size;;;
  Journal Article;294; Y. M. Kaftanovski;1938; Zoologicheski zhurnal. (Zoological journal); Colonial nest sites of (both species?) guillemots and factors influencing the mortality of eggs and chicks. (in Russian);;;17;695-705;1938; Colonial nest sites of (both species?) guillemots and factors influencing the mortality of eggs and chicks. (in Russian);640; Barents sea, Murman, Murre, Breeding, Predators, Harvesting, Foraging, Management, Climate, Behavior;;;
  Journal Article;731; A. Zubkov;1938; Byulleten Arkticheskogo Instituta. (Bulletin of Arctic Institute);The harvesting of guillemot eggs at Novaya Zemlya in 1937. (in Russian);;;11;;1938;The harvesting of guillemot eggs at Novaya Zemlya in 1937. (in Russian);6650; Barents Sea, Novaya Zemlya, Murre, Breeding, Harvesting;;;
  Book;30; L. O. Belopolski;1939;; Manual for collecting information in bird research. (in Russian);; Murmansk-Leningrad;;16;1939; Manual for collecting information in bird research. (in Russian);240; Barents Sea, Alcids, Larids, Breeding, Foraging;;;
  Book;31; L. O. Belopolski;1939;; Albom-opredelitel ptits Barentseva morya. (in Russian). (Field guide of Barents Sea birds);; Murmansk (Leningrad);;32;1939; Albom-opredelitel ptits Barentseva morya. (in Russian). (Field guide of Barents Sea birds);330; Barents Sea, Many Orders;;;
  Book;189; A. N. Dubrovski;1939;; Terrestrial mammals of Novaya Zemlya. (in Russia); Izvestiya Gosudarstvennogo  geographicheskogo obshchestva. (Proceedings of the State geographical society);;71;402-414;1939; Terrestrial mammals of Novaya Zemlya. (in Russia);3240; Barents Sea, Novaya Zemlya, Common Eider, Predators;;;ProCite field[24]: 3
  Book;452; E. Merikallio;1939;; Heinasaarten Lintukuvakirja.;; Helsinki;;;1939; Heinasaarten Lintukuvakirja.;4670; Barents Sea, Murman, Many orders, Distribution;;;
  Journal Article;456; A. Mikheev;1939; Boets-okhotnik. (Soldier-Hunter); Birds requiring protection. (in Russian);;;8;58-60;1939; Birds requiring protection. (in Russian);4890; White Sea, Eider, Management;;;
  Book;475; V. M. Modestov;1939;; The feeding of gulls of the eastern Murman and their role in the formation and life of seabird colonies (based on observations at the Kharlov island). (in Russian); Sbornick nauchn. studench. rabot Moscovsk. univ. (Collection of research works of Moscow University students); Moscow;9;83-113;1939; The feeding of gulls of the eastern Murman and their role in the formation and life of seabird colonies (based on observations at the Kharlov island). (in Russian);710; Barents Sea, Murman, Gulls, Diet, Foraging;;;
  Book;654; G. A. Tyrova;1939;; The eggs of guillemot and the meat of reindeer. (in Russian);Sbornik nauchnykh rabot Arkhangelskogo oblastnogo san.-bakter. instituta za 1935-1937 gg. (Collected research works of the Arkhangelsk region sanitary-backterial institute from 1935-1937); Arkhangelsk;;;1939; The eggs of guillemot and the meat of reindeer. (in Russian);6760; Barents Sea, Murre, Breeding, Energetics, Harvesting;;;
  Book;418; S. K. Krasovski;1940;; Adaptive characters of the skeleton of swimming birds. (in Russian); Izvestiya nauchnogo instituta im. P. F. Lesgafta. (Proceedings of the research institute named P. F. Lesgaft);;23;359-374;1940; Adaptive characters of the skeleton of swimming birds. (in Russian);4450; Barents sea, Novaya Zemlya, Alcids, Biometry, Physiology;;;
  Book;693; V. S. Uspenski;1940;; The methodology of biological inventory in 'Seven islands' state reserve.  (in Russian); Nauchno-metodicheskiye zapiski Glavnogo upravleniya po zapovednikam pri SNK RSFSR. (Scientific-methodical notes of the Central administration of the state reserves by the SNK RSFSR);;7;29-34;1940; The methodology of biological inventory in 'Seven islands' state reserve.  (in Russian);20; Barents Sea, Murman, Alcids, Gulls, Population size, Methodology, Sampling design;;;
